epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.786,1.50026,2.77119,1.69381,0.43296,0.23895,0.23451,0.13559,1.86823,2.73135,2.10716,0.000332046,0.000332046,0.000332046
2,193.451,1.59718,2.41845,1.77148,0.2238,0.29448,0.21653,0.11025,2.05677,3.2709,2.31475,0.000654401,0.000654401,0.000654401
3,277.01,1.61613,2.47156,1.81877,0.28819,0.33892,0.23236,0.13582,1.92857,2.81735,2.18237,0.000965755,0.000965755,0.000965755
4,359.156,1.60975,2.42919,1.80997,0.53651,0.38963,0.35673,0.23785,1.78016,2.54715,2.06651,0.0009505,0.0009505,0.0009505
5,441.259,1.51243,2.28445,1.74756,0.55023,0.41427,0.41829,0.29548,1.62756,2.26628,1.89712,0.000934,0.000934,0.000934
6,524.045,1.49784,2.24415,1.7224,0.4998,0.41685,0.40555,0.27787,1.60024,2.26004,1.88586,0.0009175,0.0009175,0.0009175
7,605.515,1.45087,2.14304,1.67723,0.62322,0.45677,0.46021,0.29489,1.58602,2.09544,1.85602,0.000901,0.000901,0.000901
8,688.039,1.41284,2.06486,1.64665,0.68883,0.47232,0.49204,0.35638,1.55592,2.00334,1.82024,0.0008845,0.0008845,0.0008845
9,769.908,1.39526,2.03132,1.64122,0.52246,0.43592,0.43954,0.31697,1.56848,2.20358,1.88362,0.000868,0.000868,0.000868
10,852.224,1.36645,1.98274,1.61085,0.5026,0.49765,0.50685,0.35008,1.50833,1.92531,1.76129,0.0008515,0.0008515,0.0008515
11,934.795,1.34048,1.94059,1.59359,0.58485,0.51847,0.52724,0.38882,1.39572,1.82444,1.64622,0.000835,0.000835,0.000835
12,1017.69,1.33519,1.91481,1.58975,0.54656,0.4973,0.50753,0.36066,1.44847,1.95952,1.68274,0.0008185,0.0008185,0.0008185
13,1099.62,1.33748,1.89498,1.57759,0.51547,0.55618,0.54616,0.39849,1.39039,1.77248,1.65034,0.000802,0.000802,0.000802
14,1182.25,1.30339,1.83977,1.55852,0.56519,0.49109,0.51276,0.37979,1.42832,1.88295,1.68136,0.0007855,0.0007855,0.0007855
15,1265.35,1.31295,1.84997,1.5569,0.60807,0.50303,0.53863,0.40163,1.37189,1.8618,1.62252,0.000769,0.000769,0.000769
16,1348.91,1.30009,1.83079,1.55406,0.55752,0.52498,0.55734,0.40202,1.3661,1.76206,1.61038,0.0007525,0.0007525,0.0007525
17,1432.14,1.27601,1.78935,1.53547,0.61376,0.54561,0.56258,0.41833,1.34691,1.74268,1.62668,0.000736,0.000736,0.000736
18,1514.97,1.26459,1.72954,1.52389,0.6484,0.50749,0.56378,0.42086,1.34236,1.68661,1.59391,0.0007195,0.0007195,0.0007195
19,1598.85,1.23577,1.70216,1.51167,0.58155,0.5478,0.57161,0.43153,1.30205,1.66173,1.56903,0.000703,0.000703,0.000703
20,1682.77,1.22245,1.67221,1.49577,0.61869,0.55594,0.59639,0.44158,1.31765,1.65377,1.56073,0.0006865,0.0006865,0.0006865
21,1766.05,1.23775,1.6853,1.50031,0.58937,0.57176,0.59596,0.44512,1.29523,1.61539,1.55458,0.00067,0.00067,0.00067
22,1849.28,1.20762,1.65637,1.48363,0.65545,0.5866,0.60901,0.46147,1.27806,1.58463,1.53063,0.0006535,0.0006535,0.0006535
23,1932.28,1.21292,1.63652,1.49101,0.67055,0.56455,0.59789,0.45643,1.28414,1.58841,1.53665,0.000637,0.000637,0.000637
24,2015.28,1.20881,1.6243,1.48432,0.61796,0.58169,0.59918,0.44869,1.29345,1.61377,1.54457,0.0006205,0.0006205,0.0006205
25,2098.1,1.19679,1.59347,1.46989,0.63132,0.58916,0.60234,0.46442,1.27327,1.57162,1.52406,0.000604,0.000604,0.000604
26,2181.35,1.18158,1.58366,1.46315,0.60757,0.60667,0.60213,0.47003,1.23415,1.57544,1.49806,0.0005875,0.0005875,0.0005875
27,2264.12,1.15702,1.53297,1.43884,0.56497,0.59389,0.58655,0.44568,1.29302,1.65023,1.55123,0.000571,0.000571,0.000571
28,2347.13,1.16418,1.54703,1.45029,0.64826,0.58752,0.61863,0.4726,1.30845,1.56209,1.55331,0.0005545,0.0005545,0.0005545
29,2428.86,1.16269,1.49851,1.44015,0.65264,0.60221,0.62879,0.48905,1.24012,1.526,1.49539,0.000538,0.000538,0.000538
30,2512.8,1.15534,1.50281,1.43359,0.67486,0.60691,0.63203,0.48954,1.24028,1.50342,1.49023,0.0005215,0.0005215,0.0005215
31,2594.56,1.13867,1.4874,1.42541,0.62396,0.63455,0.64018,0.48738,1.23142,1.46857,1.50015,0.000505,0.000505,0.000505
32,2677.23,1.13042,1.46162,1.41559,0.65364,0.62624,0.63773,0.48573,1.24466,1.48306,1.50779,0.0004885,0.0004885,0.0004885
33,2760.49,1.1281,1.46596,1.41332,0.68132,0.61067,0.64966,0.50444,1.2257,1.43173,1.47965,0.000472,0.000472,0.000472
34,2842.18,1.12697,1.43067,1.41154,0.65592,0.61277,0.64042,0.49753,1.2177,1.47608,1.47035,0.0004555,0.0004555,0.0004555
35,2924.96,1.10336,1.39844,1.38781,0.64831,0.61878,0.64585,0.49739,1.20817,1.43721,1.46106,0.000439,0.000439,0.000439
36,3007.08,1.0924,1.39629,1.38496,0.65608,0.62892,0.64844,0.49998,1.21241,1.43272,1.47,0.0004225,0.0004225,0.0004225
37,3089.46,1.07932,1.36009,1.37848,0.6371,0.63099,0.64919,0.50418,1.20586,1.43247,1.47343,0.000406,0.000406,0.000406
38,3172.05,1.09345,1.36892,1.3835,0.7094,0.62939,0.66761,0.51565,1.20605,1.3847,1.45456,0.0003895,0.0003895,0.0003895
39,3254.35,1.08564,1.34911,1.38064,0.68443,0.60982,0.65222,0.49655,1.2133,1.4504,1.46406,0.000373,0.000373,0.000373
40,3336.37,1.07849,1.33008,1.36701,0.62886,0.65634,0.6556,0.49972,1.20406,1.40967,1.45096,0.0003565,0.0003565,0.0003565
41,3419.79,1.0698,1.31879,1.36399,0.66664,0.63173,0.65787,0.50755,1.1866,1.38587,1.4332,0.00034,0.00034,0.00034
42,3501.89,1.05225,1.29976,1.35269,0.64317,0.63932,0.65854,0.50762,1.1732,1.38811,1.42656,0.0003235,0.0003235,0.0003235
43,3584.9,1.04706,1.26895,1.34873,0.71211,0.62158,0.66733,0.51286,1.19914,1.38024,1.46961,0.000307,0.000307,0.000307
44,3666.38,1.03865,1.25501,1.33953,0.69174,0.6324,0.66966,0.51944,1.16839,1.36509,1.42198,0.0002905,0.0002905,0.0002905
45,3749.12,1.03766,1.23281,1.33654,0.68218,0.64645,0.67531,0.52523,1.17668,1.36068,1.41866,0.000274,0.000274,0.000274
46,3831.73,1.02914,1.25336,1.3356,0.68815,0.65645,0.68314,0.53709,1.15893,1.31534,1.41089,0.0002575,0.0002575,0.0002575
47,3913.12,1.02222,1.24074,1.33135,0.68781,0.64252,0.67178,0.51934,1.1859,1.35472,1.44071,0.000241,0.000241,0.000241
48,3996.01,1.00949,1.19763,1.318,0.69023,0.6324,0.67048,0.51375,1.17544,1.34732,1.43601,0.0002245,0.0002245,0.0002245
49,4078.28,1.00785,1.1815,1.31914,0.70491,0.65437,0.68815,0.53487,1.17009,1.30404,1.43407,0.000208,0.000208,0.000208
50,4160.87,0.99892,1.16727,1.31167,0.69432,0.665,0.68946,0.53992,1.15366,1.30638,1.41371,0.0001915,0.0001915,0.0001915
51,4243.53,1.01532,1.12401,1.33382,0.69267,0.66241,0.69207,0.53873,1.15921,1.30438,1.42707,0.000175,0.000175,0.000175
52,4324.86,0.98351,1.05229,1.31101,0.76503,0.63336,0.69181,0.54599,1.15573,1.30348,1.42138,0.0001585,0.0001585,0.0001585
53,4404.93,0.97415,1.02221,1.29842,0.74206,0.632,0.6968,0.54895,1.17192,1.30439,1.42603,0.000142,0.000142,0.000142
54,4486.02,0.96318,1.0066,1.29343,0.68492,0.65494,0.68946,0.54635,1.14697,1.28626,1.40705,0.0001255,0.0001255,0.0001255
55,4565.64,0.94625,0.978,1.28074,0.73181,0.64978,0.69333,0.54746,1.1329,1.28846,1.39632,0.000109,0.000109,0.000109
56,4646.65,0.94054,0.97324,1.27604,0.74804,0.6308,0.6995,0.55577,1.13574,1.25648,1.40779,9.25e-05,9.25e-05,9.25e-05
57,4726.39,0.93271,0.92556,1.26458,0.69104,0.66405,0.68764,0.5445,1.14367,1.27234,1.41402,7.6e-05,7.6e-05,7.6e-05
58,4809.04,0.91,0.90683,1.24833,0.7309,0.65684,0.69674,0.5516,1.1515,1.27304,1.41579,5.95e-05,5.95e-05,5.95e-05
59,4888.98,0.91295,0.90056,1.25171,0.7084,0.6689,0.69668,0.55013,1.15574,1.26768,1.42152,4.3e-05,4.3e-05,4.3e-05
60,4969.81,0.89801,0.87284,1.24055,0.70106,0.65981,0.69548,0.54782,1.15477,1.2711,1.41732,2.65e-05,2.65e-05,2.65e-05
